"","ID","Timepoint","L2_SE"
"469","User #25304","Timepoint 28",1.89103370210999
"470","User #25304","Timepoint 29",1.77712638771616
"471","User #25304","Timepoint 3",0
"472","User #25304","Timepoint 30",1.5113893079569
"473","User #25304","Timepoint 31",1.84206395244732
"474","User #25304","Timepoint 32",1.57052911680562
"475","User #25304","Timepoint 33",1.44972764429741
"476","User #25304","Timepoint 34",1.55326166430539
"477","User #25304","Timepoint 35",1.62736806292264
"478","User #25304","Timepoint 36",1.59632075667502
"479","User #25304","Timepoint 37",1.57898008998079
"480","User #25304","Timepoint 38",1.61437451255717
"481","User #25304","Timepoint 39",1.77533463353697
"482","User #25304","Timepoint 4",0
"483","User #25304","Timepoint 40",1.5718629588169
"484","User #25304","Timepoint 41",1.36383036442082
"485","User #25304","Timepoint 42",1.39865787529709
"486","User #25304","Timepoint 43",1.27181208688308
"487","User #25304","Timepoint 44",1.22993489313661
"488","User #25304","Timepoint 45",1.3849280249333
"489","User #25304","Timepoint 46",1.23967735118472
"490","User #25304","Timepoint 47",1.44208998920378
"491","User #25304","Timepoint 48",1.74762331034391
"492","User #25304","Timepoint 49",1.55640831330051
"493","User #25304","Timepoint 5",0
"494","User #25304","Timepoint 50",2.33534880096445
"495","User #25304","Timepoint 51",2.30648438331963
"496","User #25304","Timepoint 52",1.69151791776766
"497","User #25304","Timepoint 53",2.36294048443327
"498","User #25304","Timepoint 54",1.55782331775159
"499","User #25304","Timepoint 55",2.43684508750502
"500","User #25304","Timepoint 56",1.85494347102889
"501","User #25304","Timepoint 57",1.68652019930298
"502","User #25304","Timepoint 58",1.46917638366127
"503","User #25304","Timepoint 59",2.30493525082563
"504","User #25304","Timepoint 6",0
"505","User #25304","Timepoint 60",1.75444483122161
"506","User #25304","Timepoint 61",1.57565430864114
"507","User #25304","Timepoint 62",1.58185197960949
"508","User #25304","Timepoint 63",2.27671288982178
"509","User #25304","Timepoint 64",2.24132858363802
"510","User #25304","Timepoint 7",0
"511","User #25304","Timepoint 8",0
"512","User #25304","Timepoint 9",0
"513","User #25305","Timepoint 1",0
"514","User #25305","Timepoint 10",0
"515","User #25305","Timepoint 11",0
"516","User #25305","Timepoint 12",0
"517","User #25305","Timepoint 13",0
"518","User #25305","Timepoint 14",0
"519","User #25305","Timepoint 15",0
"520","User #25305","Timepoint 16",0
"521","User #25305","Timepoint 17",1.47767039843228
"522","User #25305","Timepoint 18",1.74157001165884
"523","User #25305","Timepoint 19",1.89618436498457
"524","User #25305","Timepoint 2",0
"525","User #25305","Timepoint 20",1.81907564737753
"526","User #25305","Timepoint 21",1.84436350028356
"527","User #25305","Timepoint 22",2.26382787185838
"528","User #25305","Timepoint 23",1.57603940569717
"529","User #25305","Timepoint 24",1.66370592788494
"530","User #25305","Timepoint 25",1.55600801183545
"531","User #25305","Timepoint 26",2.54804099602332
"532","User #25305","Timepoint 27",1.74768823562877
"533","User #25305","Timepoint 28",2.1606523703621
"534","User #25305","Timepoint 29",1.33779458160273
"535","User #25305","Timepoint 3",0
"536","User #25305","Timepoint 30",1.4408944008842
"537","User #25305","Timepoint 31",1.48506871826766
"538","User #25305","Timepoint 32",1.84688852936265
"539","User #25305","Timepoint 33",1.61424210579442
"540","User #25305","Timepoint 34",1.88346098165225
"541","User #25305","Timepoint 35",1.65644122374828
"542","User #25305","Timepoint 36",1.68854886088084
"543","User #25305","Timepoint 37",1.93993772109485
"544","User #25305","Timepoint 38",1.86349981388133
"545","User #25305","Timepoint 39",2.81758018650302
"546","User #25305","Timepoint 4",0
"547","User #25305","Timepoint 40",1.57944920510278
"548","User #25305","Timepoint 41",1.56040606813484
"549","User #25305","Timepoint 42",1.75554878088758
"550","User #25305","Timepoint 43",1.77335049255744
"551","User #25305","Timepoint 44",1.48387083173134
"552","User #25305","Timepoint 45",2.05197230978889
"553","User #25305","Timepoint 46",1.83303014567491
"554","User #25305","Timepoint 47",1.52260170145417
"555","User #25305","Timepoint 48",1.43228791933497
"556","User #25305","Timepoint 49",1.78223521243282
"557","User #25305","Timepoint 5",0
"558","User #25305","Timepoint 50",2.5927931118458
"559","User #25305","Timepoint 51",2.18217422185904
"560","User #25305","Timepoint 52",2.37137445754116
"561","User #25305","Timepoint 53",2.41713300761575
"562","User #25305","Timepoint 54",2.12206155474518
"563","User #25305","Timepoint 55",1.85946696551788
"564","User #25305","Timepoint 56",1.8635022859113
"565","User #25305","Timepoint 57",1.90673411838058
"566","User #25305","Timepoint 58",2.20333025755197
"567","User #25305","Timepoint 59",2.13693207695213
"568","User #25305","Timepoint 6",0
"569","User #25305","Timepoint 60",1.57677459278136
"570","User #25305","Timepoint 61",1.84220923093729
"571","User #25305","Timepoint 62",2.41050236935108
"572","User #25305","Timepoint 63",1.95153288073127
"573","User #25305","Timepoint 64",1.5751598530699
"574","User #25305","Timepoint 7",0
"575","User #25305","Timepoint 8",0
"576","User #25305","Timepoint 9",0
"577","User #25306","Timepoint 1",0
"578","User #25306","Timepoint 10",0
"579","User #25306","Timepoint 11",0
"580","User #25306","Timepoint 12",0
"581","User #25306","Timepoint 13",0
"582","User #25306","Timepoint 14",0
"583","User #25306","Timepoint 15",0
"584","User #25306","Timepoint 16",0
"585","User #25306","Timepoint 17",1.53365763276975
"586","User #25306","Timepoint 18",2.39523856940425
"587","User #25306","Timepoint 19",1.63991973647332
"588","User #25306","Timepoint 2",0
"589","User #25306","Timepoint 20",2.06909976379364
"590","User #25306","Timepoint 21",2.76716948977455
"591","User #25306","Timepoint 22",2.03841097313879
"592","User #25306","Timepoint 23",1.81545359532894
"593","User #25306","Timepoint 24",1.93263048664785
"594","User #25306","Timepoint 25",1.73876530653737
"595","User #25306","Timepoint 26",1.55780329170332
"596","User #25306","Timepoint 27",1.80884920588705
"597","User #25306","Timepoint 28",2.23761471676165
"598","User #25306","Timepoint 29",3.04013366241239
"599","User #25306","Timepoint 3",0
"600","User #25306","Timepoint 30",2.23430544025718
"601","User #25306","Timepoint 31",1.75353248477707
"602","User #25306","Timepoint 32",1.88318742159979
"603","User #25306","Timepoint 33",2.2776856389964
"604","User #25306","Timepoint 34",1.70493845721581
"605","User #25306","Timepoint 35",2.55369798859222
"606","User #25306","Timepoint 36",2.14350149757989
"607","User #25306","Timepoint 37",1.87058765232479
"608","User #25306","Timepoint 38",2.28057134851599
"609","User #25306","Timepoint 39",2.13555323090382
"610","User #25306","Timepoint 4",0
"611","User #25306","Timepoint 40",1.99215921023498
"612","User #25306","Timepoint 41",1.81625528565599
"613","User #25306","Timepoint 42",2.18480064092065
"614","User #25306","Timepoint 43",2.39724773165107
"615","User #25306","Timepoint 44",1.94861914871473
"616","User #25306","Timepoint 45",2.34299525737451
"617","User #25306","Timepoint 46",1.6159551399368
